"CURR_ID","CURR_NAME","CURR_NAME_EN","UNIV_NAME_TH","LEV_NAME_TH","TOTAL_PLAN"
"25501711108263","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาคอมพิวเตอร์ศึกษา( 4 ปี)","Bachelor of Education Program in Computer Education","มหาวิทยาลัยราชภัฏอุบลราชธานี","ปริญญาตรี","60"
"25430101101742","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาชีวเวชศาสตร์","Doctor of Philosophy Program in Biomedical Sciences","มหาวิทยาลัยสงขลานครินทร์","ปริญญาเอก","6"
"25570101102737","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชารังสีเทคนิค","Bachelor of Science Program in Radiological Technology","มหาวิทยาลัยสงขลานครินทร์","ปริญญาตรี","30"
"25520101100943","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์","Master of Science Program in Biomedical Engineering","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","2"
"25520101100932","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์","Doctor of Philosophy Program in Biomedical Engineering","มหาวิทยาลัยสงขลานครินทร์","ปริญญาเอก","1"
"25540101104782","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาระบาดวิทยา (หลักสูตรนานาชาติ)","Master of  Science Program in Epidemiology (International Program)","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","6"
"25520101100932","หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์","Doctor of Philosophy Program in Biomedical Engineering","มหาวิทยาลัยสงขลานครินทร์","ปริญญาเอก","1"
"25520101100943","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์","Master of Science Program in Biomedical Engineering","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","2"
"25490101103346","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชากายภาพบำบัด","Bachelor of Science Program in Physical Therapy","มหาวิทยาลัยสงขลานครินทร์","ปริญญาตรี","40"
"25520101108536","หลักสูตรประกาศนียบัตรบัณฑิตชั้นสูง สาขาวิชาวิทยาศาสตร์การแพทย์คลินิก","Higher Graduate Diploma Program in Clinical Sciences","มหาวิทยาลัยสงขลานครินทร์","ประกาศนียบัตรบัณฑิตชั้นสูง","125"
"25470101103704","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาอาชีวเวชศาสตร์","Master of Science Program in Occupational Medicine","มหาวิทยาลัยสงขลานครินทร์","ปริญญาโท","1"
"25502261102447","หลักสูตรบัญชีบัณฑิต สาขาวิชาการบัญชี","Bachelor of Accountancy  Program in Accounting","มหาวิทยาลัยราชพฤกษ์","ปริญญาตรี","40"
"25502261102447","หลักสูตรบัญชีบัณฑิต สาขาวิชาการบัญชี","Bachelor of Accountancy  Program in Accounting","มหาวิทยาลัยราชพฤกษ์","ปริญญาตรี","40"
"25500101103775","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคนิคการแพทย์","Bachelor of Science Program in Medical Technology","มหาวิทยาลัยสงขลานครินทร์","ปริญญาตรี","65"
"25360731100282","หลักสูตรวิทยาศาสตรบัณฑิต  สาขาวิชาเทคนิคการแพทย์","Bachelor of Science Program in Medical Technology","มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ","ปริญญาตรี","130"
"25490081105998","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาประวัติศาสตร์ศิลปะ","Bachelor of Arts Program in Art History","มหาวิทยาลัยศิลปากร","ปริญญาตรี","40"
"25460081101337","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาโบราณคดี","Bachelor of Arts Program in Archaeology","มหาวิทยาลัยศิลปากร","ปริญญาตรี","40"
"25360081100392","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ","Bachelor of Arts Program in English","มหาวิทยาลัยศิลปากร","ปริญญาตรี","50"
"25551811100891","หลักสูตรแพทยศาสตรบัณฑิต","Doctor of Medicine Program","มหาวิทยาลัยสยาม","ปริญญาตรี","0"
"25570271100295","หลักสูตรการแพทย์แผนจีนบัณฑิต","Bachelor of Traditional Chinese Medicine Program","มหาวิทยาลัยพะเยา","ปริญญาตรี","60"
"25510271109671","หลักสูตรการแพทย์แผนไทยประยุกต์บัณฑิต","Bachelor of Applied Thai Traditional Medicine Program","มหาวิทยาลัยพะเยา","ปริญญาตรี","30"
"25551811100891","หลักสูตรแพทยศาสตรบัณฑิต","Doctor of Medicine Program","มหาวิทยาลัยสยาม","ปริญญาตรี","48"
"25470271104377","หลักสูตรสาธารณสุขศาสตรมหาบัณฑิต","Master of Public Health Program","มหาวิทยาลัยพะเยา","ปริญญาโท","5"
"25530271102631","หลักสูตรสาธารณสุขศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน","Bachelor of Public Health Program in Community Health","มหาวิทยาลัยพะเยา","ปริญญาตรี","60"
"25550271101081","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการส่งเสริมสุขภาพ","Bachelor of Science Program in Health Promotion","มหาวิทยาลัยพะเยา","ปริญญาตรี","120"
"25510271104629","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย","Bachelor of Science Program in Occupational Health and Safety","มหาวิทยาลัยพะเยา","ปริญญาตรี","60"
"25490081106009","หลักสูตรดุริยางคศาสตรบัณฑิต สาขาวิชาการแสดงดนตรี","Bachelor of Music Program in Performance","มหาวิทยาลัยศิลปากร","ปริญญาตรี","30"
